index,label
0,5
1,6
2,23
3,13
4,1
5,1
6,6
7,16
8,6
9,13
10,6
11,23
12,6
13,6
14,29
15,5
16,0
17,6
18,6
19,7
20,14
21,11
22,23
23,23
24,6
25,23
26,23
27,6
28,16
29,31
30,21
31,6
32,38
33,5
34,6
35,24
36,6
37,23
38,29
39,6
40,19
41,23
42,48
43,23
44,23
45,5
46,42
47,32
48,6
49,6
50,6
51,38
52,6
53,23
54,23
55,17
56,2
57,12
58,6
59,6
60,0
61,42
62,23
63,17
64,23
65,5
66,28
67,0
68,6
69,23
70,6
71,6
72,23
73,18
74,2
75,7
76,17
77,6
78,23
79,23
80,30
81,23
82,6
83,6
84,11
85,12
86,6
87,6
88,4
89,23
90,18
91,11
92,6
93,42
94,17
95,19
96,5
97,23
98,13
99,10
100,23
101,0
102,10
103,23
104,6
105,14
106,6
107,12
108,6
109,23
110,39
111,7
112,7
113,11
114,23
115,23
116,23
117,14
118,6
119,42
120,29
121,6
122,7
123,12
124,23
125,6
126,14
127,42
128,14
129,6
130,6
131,5
132,23
133,6
134,22
135,7
136,7
137,29
138,23
139,36
140,6
141,6
142,10
143,5
144,23
145,23
146,23
147,6
148,25
149,1
150,23
151,31
152,16
153,18
154,6
155,9
156,11
157,6
158,30
159,1
160,6
161,24
162,6
163,6
164,6
165,6
166,12
167,18
168,47
169,7
170,1
171,22
172,23
173,23
174,6
175,5
176,23
177,13
178,2
179,21
180,27
181,28
182,23
183,6
184,30
185,41
186,23
187,6
188,9
189,47
190,35
191,29
192,6
193,2
194,6
195,8
196,6
197,5
198,23
199,6
200,31
201,6
202,7
203,23
204,6
205,0
206,21
207,14
208,23
209,0
210,14
211,11
212,13
213,6
214,13
215,23
216,0
217,4
218,6
219,5
220,23
221,23
222,6
223,6
224,14
225,6
226,13
227,42
228,18
229,7
230,5
231,29
232,23
233,19
234,4
235,17
236,23
237,11
238,30
239,14
240,15
241,6
242,23
243,11
244,21
245,23
246,20
247,6
248,5
249,23
250,6
251,7
252,16
253,35
254,23
255,23
256,25
257,7
258,38
259,23
260,28
261,6
262,1
263,6
264,23
265,5
266,23
267,7
268,23
269,29
270,6
271,23
272,6
273,23
274,6
275,23
276,23
277,6
278,6
279,6
280,6
281,23
282,6
283,25
284,8
285,10
286,16
287,23
288,0
289,6
290,12
291,43
292,6
293,6
294,18
295,5
296,23
297,14
298,7
299,24
300,5
301,6
302,23
303,38
304,24
305,5
306,25
307,23
308,6
309,6
310,14
311,6
312,6
313,20
314,6
315,23
316,0
317,14
318,23
319,7
320,23
321,0
322,46
323,23
324,7
325,21
326,2
327,17
328,27
329,5
330,12
331,6
332,24
333,2
334,6
335,13
336,21
337,2
338,6
339,5
340,5
341,6
342,15
343,6
344,6
345,21
346,23
347,38
348,12
349,6
350,19
351,1
352,23
353,4
354,23
355,9
356,23
357,6
358,0
359,5
360,37
361,9
362,6
363,6
364,0
365,12
366,25
367,13
368,7
369,4
370,5
371,6
372,6
373,45
374,10
