index,label
0,1
1,0
2,0
3,2
4,3
5,4
6,0
7,5
8,0
9,6
10,0
11,0
12,0
13,0
14,0
15,7
16,8
17,0
18,0
19,9
20,10
21,11
22,0
23,0
24,0
25,0
26,12
27,0
28,13
29,14
30,15
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,16
39,0
40,17
41,18
42,19
43,0
44,0
45,0
46,20
47,21
48,0
49,22
50,0
51,0
52,0
53,0
54,0
55,23
56,0
57,24
58,0
59,0
60,0
61,25
62,0
63,26
64,0
65,0
66,27
67,28
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,29
81,0
82,0
83,0
84,30
85,31
86,0
87,32
88,33
89,0
90,0
91,34
92,0
93,35
94,36
95,37
96,0
97,38
98,39
99,0
100,0
101,40
102,0
103,0
104,0
105,0
106,41
107,42
108,0
109,0
110,43
111,44
112,45
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,46
121,0
122,47
123,48
124,0
125,0
126,0
127,49
128,50
129,0
130,51
131,0
132,52
133,0
134,53
135,54
136,0
137,0
138,0
139,55
140,0
141,56
142,57
143,58
144,59
145,0
146,0
147,0
148,60
149,0
150,0
151,0
152,61
153,62
154,0
155,63
156,0
157,0
158,64
159,65
160,0
161,66
162,0
163,0
164,67
165,0
166,68
167,69
168,70
169,71
170,72
171,0
172,0
173,0
174,0
175,0
176,0
177,73
178,74
179,75
180,76
181,77
182,0
183,0
184,78
185,0
186,79
187,0
188,80
189,81
190,82
191,0
192,0
193,0
194,83
195,84
196,0
197,0
198,0
199,0
200,0
201,0
202,85
203,0
204,0
205,86
206,0
207,87
208,88
209,0
210,0
211,0
212,0
213,0
214,89
215,0
216,90
217,91
218,0
219,0
220,0
221,0
222,0
223,92
224,93
225,0
226,94
227,95
228,96
229,0
230,97
231,98
232,0
233,0
234,0
235,99
236,0
237,100
238,101
239,0
240,102
241,0
242,0
243,0
244,103
245,0
246,104
247,105
248,0
249,0
250,0
251,106
252,107
253,108
254,0
255,0
256,0
257,109
258,0
259,110
260,111
261,0
262,112
263,0
264,0
265,0
266,0
267,113
268,0
269,114
270,0
271,0
272,0
273,0
274,0
275,0
276,115
277,0
278,116
279,0
280,0
281,117
282,0
283,118
284,0
285,119
286,120
287,0
288,121
289,0
290,122
291,123
292,0
293,0
294,0
295,0
296,0
297,124
298,125
299,126
300,0
301,0
302,0
303,127
304,0
305,0
306,0
307,128
308,0
309,0
310,0
311,0
312,0
313,129
314,0
315,130
316,131
317,132
318,0
319,133
320,0
321,134
322,135
323,0
324,136
325,0
326,137
327,0
328,0
329,0
330,138
331,0
332,0
333,0
334,0
335,139
336,140
337,0
338,0
339,141
340,0
341,0
342,142
343,0
344,0
345,143
346,0
347,144
348,0
349,145
350,0
351,146
352,0
353,147
354,0
355,148
356,149
357,150
358,151
359,152
360,0
361,0
362,0
363,153
364,154
365,0
366,0
367,155
368,0
369,156
370,0
371,0
372,0
373,157
374,158
375,159
376,160
377,0
378,161
379,162
380,0
381,163
382,164
383,0
384,0
385,0
386,165
387,0
388,166
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,167
399,168
400,0
401,0
402,169
403,0
404,0
405,0
406,170
407,0
408,171
409,0
410,172
411,173
412,0
413,174
414,0
415,0
416,0
417,0
418,175
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,176
429,177
430,0
431,0
432,0
433,178
434,179
435,0
436,180
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,181
446,0
447,0
448,0
449,0
450,0
451,182
452,0
453,0
454,0
455,183
456,0
457,0
458,0
459,0
460,184
461,185
462,186
463,0
464,187
465,0
466,188
467,0
468,0
469,189
470,0
471,190
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,191
480,192
481,0
482,193
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,194
495,195
496,0
497,0
498,0
499,0
500,0
501,196
502,197
503,0
504,198
505,199
506,0
507,0
508,0
509,0
510,0
511,0
512,0
513,200
514,201
515,0
516,0
517,202
518,203
519,204
520,205
521,0
522,0
523,206
524,0
525,207
526,0
527,208
528,0
529,209
530,0
531,0
532,0
533,210
534,211
535,212
536,0
537,0
538,213
539,0
540,214
541,215
542,0
543,0
544,0
545,216
546,0
547,0
548,0
549,0
550,0
551,0
552,217
553,218
554,219
555,0
556,0
557,220
558,221
559,0
560,222
561,223
562,0
563,0
564,224
565,0
566,0
567,0
568,0
569,225
570,0
571,226
572,0
573,0
574,0
575,227
576,228
577,0
578,229
579,0
580,230
581,0
582,0
583,0
584,231
585,0
586,232
587,0
588,233
589,0
590,0
591,234
592,0
593,0
594,235
595,236
596,237
597,0
598,238
599,239
600,0
601,0
602,0
603,0
604,0
605,0
606,240
607,241
608,0
609,0
610,242
611,243
612,0
613,0
614,0
615,244
616,245
617,246
618,0
619,0
620,0
621,247
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,248
630,249
631,0
632,250
633,0
634,251
635,0
636,0
637,252
638,253
639,0
640,254
641,0
642,0
643,0
644,0
645,0
646,255
647,0
648,256
649,0
650,257
651,258
652,0
653,259
654,0
655,0
656,260
657,0
658,261
659,262
660,263
661,0
662,264
663,265
664,266
665,0
666,0
667,0
668,0
669,267
670,0
671,268
672,0
673,269
674,0
675,0
676,0
677,0
678,0
679,0
680,0
681,0
682,270
683,271
684,272
685,0
686,0
687,0
688,273
689,0
690,274
691,0
692,0
693,275
694,0
695,0
696,276
697,0
698,0
699,277
700,0
701,0
702,0
703,0
704,0
705,0
706,0
707,0
708,0
709,278
710,279
711,0
712,280
713,0
714,0
715,281
716,0
717,0
718,282
719,0
720,0
721,0
722,0
723,0
724,0
725,0
726,0
727,0
728,0
729,0
730,0
731,0
732,283
733,284
734,0
735,285
736,286
737,0
738,0
739,0
740,0
741,287
742,288
743,289
744,290
745,291
746,0
747,0
748,0
749,0
750,0
751,0
752,292
753,293
754,0
755,0
756,0
757,294
758,0
759,0
760,0
761,0
762,0
763,0
764,0
765,0
766,295
767,296
768,0
769,0
770,0
771,297
772,298
773,0
774,0
775,0
776,0
777,0
778,0
779,299
780,300
781,301
782,302
783,0
784,0
785,303
786,304
787,0
788,0
789,305
790,0
791,306
792,0
793,307
794,308
795,0
796,309
797,0
798,0
799,0
800,310
801,0
802,0
803,311
804,312
805,0
806,313
807,0
808,314
809,0
810,315
811,316
812,0
813,0
814,0
815,317
816,0
817,0
818,0
819,318
820,319
821,320
822,321
823,0
824,0
825,322
826,323
827,0
828,324
829,0
830,325
831,0
832,326
833,0
834,0
835,327
836,328
837,329
838,0
839,0
840,0
841,330
842,0
843,331
844,332
845,333
846,334
847,0
848,0
849,0
850,335
851,336
852,0
853,0
854,337
855,0
856,338
857,0
858,0
859,339
860,340
861,0
862,0
863,0
864,0
865,0
866,0
867,0
868,0
869,341
870,0
871,0
872,342
873,343
874,344
875,345
876,0
877,0
878,0
879,0
880,346
881,347
882,0
883,348
884,0
885,0
886,0
887,0
888,349
889,0
890,0
891,350
892,351
893,0
894,352
895,353
896,354
897,355
898,0
899,0
900,356
901,357
902,358
903,359
904,0
905,0
906,360
907,0
908,0
909,0
910,0
911,361
912,0
913,362
914,363
915,364
916,0
917,0
918,365
919,0
920,366
921,367
922,0
923,0
924,0
925,368
926,0
927,369
928,0
929,370
930,0
931,371
932,0
933,0
934,372
935,373
936,374
937,375
938,376
939,0
940,377
941,378
942,379
943,0
944,0
945,0
946,0
947,0
948,0
949,380
950,381
951,0
952,0
953,0
954,0
955,0
956,382
957,0
958,383
959,0
960,384
961,0
962,0
963,0
964,385
965,386
966,0
967,387
968,388
969,389
970,0
971,390
972,0
973,0
974,0
975,0
976,391
977,0
978,392
979,0
980,393
981,394
982,0
983,395
984,0
985,0
986,396
987,397
988,0
989,0
990,398
991,399
992,400
993,0
994,0
995,401
996,0
997,0
998,0
999,402
1000,0
1001,403
1002,0
1003,404
1004,405
1005,406
1006,407
1007,0
1008,0
1009,408
1010,0
1011,0
1012,0
1013,409
1014,410
1015,411
1016,412
1017,0
1018,0
1019,413
1020,0
1021,414
1022,0
1023,0
1024,0
1025,0
1026,415
1027,416
1028,0
1029,0
1030,0
1031,417
1032,0
1033,0
1034,418
1035,419
1036,0
1037,0
1038,0
1039,0
1040,420
1041,421
1042,0
1043,422
1044,0
1045,423
1046,424
1047,425
1048,426
1049,0
1050,427
1051,0
1052,0
1053,428
1054,429
1055,0
1056,0
1057,0
1058,0
1059,0
1060,0
1061,0
1062,0
1063,430
1064,0
1065,0
1066,0
1067,0
1068,431
1069,432
1070,433
1071,434
1072,0
1073,0
1074,435
1075,0
1076,436
1077,0
1078,437
1079,0
1080,438
1081,0
1082,0
1083,439
1084,440
1085,441
1086,442
1087,443
1088,444
1089,0
1090,0
1091,0
1092,445
1093,0
1094,0
1095,446
1096,447
1097,448
1098,0
1099,449
1100,0
1101,0
1102,450
1103,451
1104,452
1105,453
1106,0
1107,0
1108,0
1109,454
1110,0
1111,0
1112,0
1113,0
1114,455
1115,456
1116,0
1117,0
1118,457
1119,0
1120,0
1121,458
1122,0
1123,0
1124,459
1125,460
1126,0
1127,0
1128,0
1129,0
1130,0
1131,0
1132,0
1133,0
1134,0
1135,461
1136,0
1137,0
1138,462
1139,0
1140,463
1141,464
1142,0
1143,465
1144,0
1145,0
1146,466
1147,0
1148,0
1149,0
1150,467
1151,468
1152,0
1153,0
1154,0
1155,0
1156,0
1157,0
1158,0
1159,469
1160,0
1161,0
1162,0
1163,470
1164,0
1165,471
1166,0
1167,0
1168,0
1169,0
1170,472
1171,473
1172,0
1173,474
1174,475
1175,0
1176,476
1177,0
1178,477
1179,0
1180,0
1181,0
1182,0
1183,478
1184,0
1185,479
1186,0
1187,480
1188,481
1189,0
1190,482
1191,0
1192,0
1193,0
1194,0
1195,483
1196,0
1197,484
1198,0
1199,485
1200,486
1201,0
1202,0
1203,0
1204,0
1205,487
1206,488
1207,0
1208,0
1209,0
1210,0
1211,0
1212,0
1213,0
1214,0
1215,489
1216,0
1217,490
1218,491
1219,0
1220,492
1221,493
1222,0
1223,0
1224,0
1225,0
1226,494
1227,0
1228,495
1229,0
1230,0
