index,label
0,13
1,9
2,49
3,28
4,37
5,37
6,0
7,24
8,9
9,3
10,5
11,9
12,9
13,34
14,20
15,9
16,24
17,3
18,9
19,26
20,34
21,22
22,40
23,5
24,9
25,40
26,9
27,9
28,6
29,6
30,26
31,9
32,5
33,49
34,9
35,37
36,34
37,3
38,5
39,34
40,43
41,40
42,13
43,9
44,27
45,3
46,5
47,42
48,34
49,9
50,9
51,7
52,9
53,23
54,9
55,45
56,47
57,10
58,44
59,9
60,27
61,34
62,40
63,35
64,9
65,3
66,19
67,3
68,9
69,27
70,9
71,9
72,27
73,13
74,10
75,9
76,35
77,9
78,40
79,40
80,20
81,9
82,9
83,49
84,22
85,37
86,9
87,49
88,40
89,9
90,9
91,45
92,49
93,5
94,27
95,43
96,23
97,40
98,27
99,27
100,40
101,27
102,27
103,9
104,7
105,13
106,13
107,37
108,9
109,40
110,24
111,26
112,13
113,7
114,40
115,27
116,23
117,0
118,9
119,5
120,26
121,34
122,34
123,37
124,9
125,7
126,49
127,5
128,36
129,34
130,34
131,9
132,23
133,9
134,9
135,34
136,9
137,20
138,27
139,6
140,34
141,9
142,35
143,13
144,40
145,23
146,40
147,34
148,2
149,33
150,27
151,44
152,48
153,20
154,9
155,20
156,45
157,9
158,13
159,33
160,9
161,37
162,9
163,9
164,34
165,5
166,37
167,44
168,30
169,26
170,33
171,20
172,34
173,49
174,34
175,40
176,40
177,8
178,43
179,34
180,0
181,19
182,40
183,44
184,13
185,39
186,9
187,0
188,37
189,6
190,43
191,37
192,9
193,10
194,34
195,47
196,5
197,40
198,47
199,9
200,39
201,9
202,13
203,9
204,34
205,27
206,26
207,49
208,9
209,3
210,26
211,37
212,28
213,9
214,3
215,9
216,3
217,13
218,9
219,40
220,27
221,40
222,9
223,0
224,11
225,34
226,8
227,5
228,34
229,34
230,3
231,37
232,40
233,0
234,46
235,15
236,24
237,22
238,13
239,48
240,27
241,9
242,27
243,45
244,13
245,9
246,30
247,34
248,49
249,3
250,49
251,34
252,48
253,43
254,27
255,27
256,3
257,34
258,9
259,3
260,19
261,9
262,37
263,9
264,40
265,23
266,40
267,34
268,27
269,9
270,34
271,3
272,9
273,23
274,49
275,3
276,3
277,9
278,34
279,9
280,9
281,23
282,49
283,0
284,7
285,35
286,13
287,40
288,43
289,9
290,43
291,43
292,7
293,9
294,20
295,9
296,9
297,13
298,34
299,27
300,9
301,3
302,47
303,5
304,37
305,49
306,0
307,9
308,9
309,9
310,44
311,9
312,9
313,30
314,9
315,3
316,25
317,44
318,9
319,34
320,9
321,9
322,35
323,23
324,26
325,26
326,29
327,39
328,0
329,23
330,24
331,9
332,6
333,37
334,9
335,27
336,49
337,23
338,9
339,40
340,6
341,9
342,9
343,44
344,34
345,34
346,40
347,13
348,14
349,0
350,37
351,33
352,34
353,46
354,40
355,13
356,40
357,5
358,3
359,46
360,47
361,22
362,9
363,9
364,27
365,35
366,3
367,28
368,34
369,21
370,9
371,9
372,44
373,14
374,35
375,5
376,2
377,24
378,37
379,33
380,9
381,35
382,1
383,9
384,9
385,27
386,5
387,34
388,30
389,9
390,6
391,9
392,9
393,45
394,9
395,37
396,9
397,9
398,0
399,48
400,5
401,34
402,27
403,9
404,7
405,47
406,40
407,37
408,0
409,9
410,5
411,0
412,9
413,1
414,5
415,9
416,34
417,9
418,34
419,44
420,9
421,9
422,5
423,7
424,40
425,9
426,9
427,45
428,14
429,27
430,9
431,0
432,9
433,26
434,47
435,39
436,35
437,27
438,9
439,40
440,9
441,45
442,45
443,9
444,45
445,43
446,5
447,27
448,34
449,9
450,37
451,40
452,46
453,20
454,27
455,2
456,9
457,45
458,5
459,9
460,7
461,34
462,23
463,44
464,7
465,23
466,0
467,7
468,20
469,35
470,7
471,9
472,33
473,40
474,0
475,9
476,9
477,7
478,40
479,23
480,30
481,7
482,34
483,7
484,0
485,9
486,27
487,9
488,3
489,5
490,27
491,20
492,40
493,40
494,17
495,9
496,3
497,3
498,27
499,39
500,10
501,3
502,44
503,5
504,6
505,35
506,9
507,40
508,3
509,23
510,13
511,45
512,49
513,9
514,3
515,30
516,49
517,16
518,34
519,15
520,17
521,9
522,3
523,46
524,23
525,5
526,44
527,9
528,9
529,16
530,0
531,23
532,9
533,9
534,9
535,27
536,40
537,5
538,3
539,9
540,8
541,37
542,9
543,9
544,44
545,33
546,37
547,9
548,34
549,43
550,3
551,37
552,9
553,23
554,44
555,9
556,27
557,35
558,33
559,49
560,5
561,40
562,40
563,9
564,24
565,40
566,9
567,10
568,9
569,0
570,40
571,9
572,27
573,45
574,9
575,9
576,6
577,7
578,11
579,9
580,49
581,23
582,27
583,27
584,35
585,37
586,21
587,40
588,30
589,34
590,27
591,33
592,49
593,27
594,34
595,9
596,32
597,9
598,8
599,37
600,44
601,27
602,27
603,27
604,9
605,6
606,34
607,15
608,49
609,7
610,43
611,26
612,37
613,47
614,34
615,49
616,13
617,30
618,9
619,9
620,9
621,34
622,44
623,9
624,13
625,40
626,9
627,34
628,34
629,19
630,9
631,0
632,22
633,23
634,34
635,9
636,40
637,6
638,36
639,44
640,27
641,49
642,34
643,9
644,7
645,9
646,5
647,9
648,23
649,9
650,9
651,48
652,34
653,34
654,46
655,24
656,24
657,37
658,13
659,13
660,3
661,9
662,13
663,3
664,8
665,27
666,9
667,34
668,9
669,3
670,40
671,45
672,40
673,21
674,7
675,23
676,34
677,23
678,23
679,23
680,7
681,3
682,43
683,48
684,27
685,34
686,9
687,7
688,5
689,3
690,9
691,9
692,7
693,34
694,27
695,9
696,49
697,43
698,27
699,24
700,3
701,23
702,3
703,9
704,27
705,40
706,9
707,9
708,40
709,13
710,44
711,40
712,27
713,40
714,9
715,9
716,45
717,3
718,9
719,9
720,46
721,49
722,34
723,44
724,45
725,5
726,47
727,9
728,27
729,45
730,37
731,27
732,27
733,33
734,7
735,27
736,49
737,45
738,9
739,35
740,49
741,26
742,34
743,37
744,28
745,5
746,44
747,13
748,9
749,9
750,23
751,40
752,20
753,7
754,34
755,34
756,9
757,23
758,28
759,9
760,37
761,9
762,22
763,27
764,9
765,23
766,19
767,40
768,45
769,3
770,9
771,47
772,19
773,9
774,7
775,23
776,43
777,9
778,9
779,27
780,48
781,9
782,14
783,44
784,47
785,48
786,13
787,34
788,9
789,15
790,6
791,35
792,48
793,22
794,9
795,34
796,34
797,27
798,27
799,5
800,3
801,20
802,23
803,3
804,27
805,43
